Id,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence
3BodyProblem,0.6307671502860948,0.7686300363068862,0.7172285875312648,0.6642899458149816,0.8141122693518177
AaronWilhelm,0.6549626771853536,0.7923895613568979,0.8065195801979538,0.6806422623122127,0.8257883670945467
adriaan_o,0.6371348420678584,0.7734246245017771,0.734558879409695,0.6637266061752577,0.8205861546012341
alvinfoo,0.6465577922697465,0.772838388577372,0.7116904056464618,0.6603802319658233,0.8136266648389316
amandacox,0.5972070564910785,0.752371692269248,0.6834088044237278,0.6308722607050183,0.8083824612347201
andi_staub,0.6424300575134634,0.7703400066707031,0.7149340097628621,0.6946236498899035,0.8148515516057012
andrew4mk,0.5880735963202015,0.7973418558493388,0.703237382140492,0.6523901849718451,0.8195603115864079
AndroidSaint,0.6397610761230695,0.7776992836500121,0.76531060411707,0.67686262814945,0.808640894639846
AndyManganelli,0.6243185909875536,0.7949078118959171,0.8026348930111527,0.6772537144614816,0.8232513821801887
anthonyodogwu,0.676500752203387,0.7943533587097733,0.750412880332701,0.6811960696128679,0.8231018750203096
ARstralian,0.6262041855883718,0.7850353976002348,0.6797802702887249,0.6832936625963701,0.8231561367722204
ashleymcnamara,0.6149560088912863,0.8191806922212553,0.8237395944590067,0.7009346087266428,0.8331489152478595
athulcajay,0.6500375455804938,0.7786433208644562,0.7397579674812877,0.6580154340493006,0.820072328557826
ayushbherwani,0.6695471511678439,0.7859428038885667,0.7492991312809354,0.6754122430903264,0.8218164779661736
BenGeskin,0.647556004708122,0.763351359006149,0.7444820431613901,0.6644791312333698,0.8113653778823713
bexelbie,0.5996687549180948,0.7881326417117742,0.7469308017059726,0.6655672112443063,0.8199919601489005
BhuyuChhyan,0.6591356183697833,0.7315307650819903,0.7112535924832083,0.6907155449109676,0.7873370488063066
BillMew,0.6147783996909938,0.7575021014143686,0.6712517931753486,0.6416917522735137,0.8128056444567613
BojanaVukov,0.6410283119910396,0.7658996150363688,0.683892474800849,0.6498608712422641,0.8223483587174292
booredatwork,0.6741825453062991,0.7706397261346694,0.7757611499545769,0.693465578245881,0.8156769435539164
BrandonJHavard,0.6543808365744166,0.8151573681916137,0.8259337860340887,0.6967094184567751,0.8298994614025318
Canoopsy,0.6335310612918971,0.7967440392390557,0.7966579028566674,0.6966567775209185,0.8242584816285543
cassidoo,0.6365636088084287,0.7918391607785698,0.7683826951042915,0.6774801431160542,0.825626325412301
Cenli,0.6592754430972959,0.7864256445165735,0.714784313546041,0.673034400009389,0.8219590516774767
ChipEdwards4,0.6318191860988658,0.7831715778384324,0.7279309871244484,0.6645064424538953,0.8270405229003328
codebeast,0.6609005655401103,0.7888303191101532,0.7497667777190182,0.6693894608603221,0.8243097109154953
copyconstruct,0.5608570482013396,0.7923022020187056,0.7167386749641489,0.6630294953917695,0.8213752276132298
CRudinschi,0.6151924783012432,0.7733762973628774,0.6945498322068048,0.6594087112378171,0.8146423944664396
ctrlshifti,0.5939692143586639,0.8006320384571278,0.7812257518301765,0.6734348507261408,0.8249983022143651
DanielHoppener,0.6833997077896454,0.7983453207438589,0.731575261057204,0.6692239109291056,0.8250026043870651
dan_abramov,0.5449711338935543,0.8026798687291768,0.7421768261058301,0.6674465694228731,0.8240717012328197
DavidPraiseKalu,0.6526628438969785,0.7610330954155368,0.691267504347795,0.6503856033099327,0.8190740158381288
davorjord,0.6490378748704094,0.7579094019432694,0.6792894824199112,0.6469687870651616,0.8209525220253249
da_moxy,0.696706055824484,0.8190849406006241,0.8190733189558322,0.6998387286245764,0.8278445454333868
